audience_name,size
美國空軍預備役司令部,421190
緊急醫療服務,29581620
聯邦緊急事務管理署,7532150
緊急醫療技術員,4642610
存款,44353620
存款,15399630
個人理財,758072810
嘉信理財集團,1309770
CMoney 理財寶,1265450
理財周刊,175960
獨立理財顧問,159140
投資,385141780
投資者,69138640
房地產投資,31533658
投資銀行業,24425850
私人股權投資,17632470
風險投資,13664210
投資報酬率,8802150
投資組合,6933460
投資管理,6628470
天使投資者,5548670
不動產投資信託,3706580
黃金投資,3025430
外商直接投資,2812080
物業投資者,2382924
越南投資發展銀行,1920480
價值投資,1883860
領航投資,865810
另類投資市場,503260
鑽石投資,479690
歐洲投資銀行,344440
投資型硬幣,152540
聰明的投資者,25840
股票,223407550
股票市場,44730310
馬來西亞股票交易所,1194160
股票財經日報,202170
舊股票交易中心,181850
股票指數期貨,53990
儲蓄,7673490
儲蓄互助社,15778530
俄羅斯聯邦儲蓄銀行,1647950
奧克蘭儲蓄銀行,492500
免稅儲蓄賬戶,178080
貧富差距,3052710
退休,33591930
退休金,35474710
美國退休人員協會,9348700
401退休福利計畫,3046600
退休保險,539310
財產,30197370
財產保險,589310
財富,206097230
富爸爸·窮爸爸,9375440
窮鄉僻壤,6561850
富爸爸窮爸爸,5850330
窮街陋巷,2574370
牡蠣窮孩兒三明治,807990
利息,19737610
退休金,35474710
收入,80692850
被動收入,12364840
無條件基本收入,1180820
ETF,1575330
ETFs,80
財務會計,6650690
財務總監,4115020
財務報表,2901960
財務自由,982770
國際財務報告準則,748020
財務會計標準委員會,13250
